date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:01	1477/1477	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Mar%202026%2005:42:02%20GMT	https://rokstar.vercel.app/robots.txt		(from )
12:42:01	15109/15109	---MCZ	200	added ('OK')	text/html	etag:W/%22d451eae5586661e6c05fc89021d8051d%22	https://rokstar.vercel.app/	D:/portpolio-project/portfolio/rokstar.vercel.app/index.html	(from )
12:42:02	1633/1633	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225ebb83e361601fd8ad5cf7671fe02d07%22	https://rokstar.vercel.app/assets/img/icon/favicon.ico	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/img/icon/favicon.ico	(from https://rokstar.vercel.app/)
12:42:02	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://rokstar.vercel.app/assets/css/bootstrap.min.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/bootstrap.min.css	(from https://rokstar.vercel.app/)
12:42:02	29062/29062	---MCZ	200	added ('OK')	text/css	etag:W/%22bb53ad7bffecc0014d64553e96501dce%22	https://rokstar.vercel.app/assets/css/font-awesome.min.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/font-awesome.min.css	(from https://rokstar.vercel.app/)
12:42:03	1000/1000	---MCZ	200	added ('OK')	text/css	etag:W/%221bd0e46495ac4d70fadaab5da8c44739%22	https://rokstar.vercel.app/assets/css/flaticon.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/flaticon.css	(from https://rokstar.vercel.app/)
12:42:03	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%2230b593b71d7672658f89bfea0ab360c9%22	https://rokstar.vercel.app/assets/css/magnific-popup.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/magnific-popup.css	(from https://rokstar.vercel.app/)
12:42:04	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%22cb0567a8e6fa8a2786dec28833cb1ce9%22	https://rokstar.vercel.app/assets/css/slicknav.min.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/slicknav.min.css	(from https://rokstar.vercel.app/)
12:42:04	3385/3385	---MCZ	200	added ('OK')	text/css	etag:W/%22626f2bc4d293417076a60da417ad2649%22	https://rokstar.vercel.app/assets/css/typography.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/typography.css	(from https://rokstar.vercel.app/)
12:42:05	3892/3892	---MCZ	200	added ('OK')	text/css	etag:W/%2281ac8926590467d0ca72f7f2563e8b60%22	https://rokstar.vercel.app/assets/css/default-css.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/default-css.css	(from https://rokstar.vercel.app/)
12:42:05	15380/15380	---MCZ	200	added ('OK')	text/css	etag:W/%225fca0b7a7e940b94d3a898b504cfb08c%22	https://rokstar.vercel.app/assets/css/styles.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/styles.css	(from https://rokstar.vercel.app/)
12:42:05	3304/3304	---MCZ	200	added ('OK')	text/css	etag:W/%22dbc22645654990cd84d8569b2d42e33a%22	https://rokstar.vercel.app/assets/css/responsive.css	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/css/responsive.css	(from https://rokstar.vercel.app/)
12:42:06	15514/15514	---MCZ	200	added ('OK')	application/javascript	etag:W/%22da941a6e1e1df098744318f6d25ba13a%22	https://rokstar.vercel.app/assets/js/vendor/modernizr-2.8.3.min.js	D:/portpolio-project/portfolio/rokstar.vercel.app/assets/js/vendor/modernizr-2.8.3.min.js	(from https://rokstar.vercel.app/)
